broom,exp,individual,age,rise10,fly50,fly100
Nimbus 2000,1,A,Young,0.3,2.3,7.4
Nimbus 2000,2,A,Young,0.4,2.1,5.4
Nimbus 2000,3,A,Young,0.2,1.9,5.12
Nimbus 2001,1,A,Young,0.2,2.1,4.3
Nimbus 2001,2,A,Young,0.4,2,4.3
Nimbus 2001,3,A,Young,0.3,1.8,5.02
Cleansweep 11,1,A,Young,0.7,2.8,5.49
Cleansweep 11,2,A,Young,0.9,2.8,5.6
Cleansweep 11,3,A,Young,0.7,2.7,5.42
Nimbus 2000,1,B,Young,0.9,1.4,5.9
Nimbus 2000,2,B,Young,0.3,1.9,5.15
Nimbus 2000,3,B,Young,0.6,1.8,4.91
Nimbus 2001,1,B,Young,0.6,1.2,2.5
Nimbus 2001,2,B,Young,0.5,1.8,3.9
Nimbus 2001,3,B,Young,0.6,1.7,4.81
Cleansweep 11,1,B,Young,0.7,2.6,5.03
Cleansweep 11,2,B,Young,0.8,2.6,5.35
Cleansweep 11,3,B,Young,1,2.6,5.21
Nimbus 2000,1,C,Old,1,3,5.65
Nimbus 2000,2,C,Old,1.2,3.5,7.9
Nimbus 2000,3,C,Old,0.8,2.9,7.22
Nimbus 2001,1,C,Old,0.9,2.8,5.7
Nimbus 2001,2,C,Old,1,3.4,7.1
Nimbus 2001,3,C,Old,0.8,2.8,7.12
Cleansweep 11,1,C,Old,1.4,4,7.79
Cleansweep 11,2,C,Old,1.2,3.8,8.1
Cleansweep 11,3,C,Old,1.2,3.7,7.52
Nimbus 2000,1,D,Old,0.5,2.2,8.4
Nimbus 2000,2,D,Old,0.5,2.7,5.4
Nimbus 2000,3,D,Old,0.4,1.9,5.12
Nimbus 2001,1,D,Old,0.4,2,4.1
Nimbus 2001,2,D,Old,0.6,2.6,5.5
Nimbus 2001,3,D,Old,0.4,1.8,5.02
Cleansweep 11,1,D,Old,0.9,3.2,5.49
Cleansweep 11,2,D,Old,1,2.8,5.6
Cleansweep 11,3,D,Old,0.8,2.7,5.42
Nimbus 2000,1,E,Old,0.6,2.1,5.9
Nimbus 2000,2,E,Old,0.3,2.1,5.65
Nimbus 2000,3,E,Old,0.5,2,5.33
Nimbus 2001,1,E,Old,0.5,1.9,3.9
Nimbus 2001,2,E,Old,0.5,2,4.3
Nimbus 2001,3,E,Old,0.5,1.9,5.23
Cleansweep 11,1,E,Old,1,3.1,5.49
Cleansweep 11,2,E,Old,1,2.8,5.85
Cleansweep 11,3,E,Old,0.9,2.8,5.63
Nimbus 2000,1,F,Young,0.6,1.9,6.15
Nimbus 2000,2,F,Young,0.2,2,5.4
Nimbus 2000,3,F,Young,0.3,1.9,5.12
Nimbus 2001,1,F,Young,0.5,1.7,3.5
Nimbus 2001,2,F,Young,0.4,1.9,4.1
Nimbus 2001,3,F,Young,0.4,1.8,5.02
Cleansweep 11,1,F,Young,1,2.9,5.26
Cleansweep 11,2,F,Young,0.7,2.7,5.6
Cleansweep 11,3,F,Young,0.7,2.7,5.42
Nimbus 2000,1,G,Young,0.4,1.8,5.9
Nimbus 2000,2,G,Young,0.2,2,5.15
Nimbus 2000,3,G,Young,0.4,1.8,4.91
Nimbus 2001,1,G,Young,0.3,1.6,3.3
Nimbus 2001,2,G,Young,0.4,1.9,4.1
Nimbus 2001,3,G,Young,0.4,1.7,4.81
Cleansweep 11,1,G,Young,0.7,2.8,4.8
Cleansweep 11,2,G,Young,0.7,2.5,5.35
Cleansweep 11,3,G,Young,0.8,2.6,5.21
Nimbus 2000,1,H,Young,0.7,2.5,5.65
Nimbus 2000,2,H,Young,0.5,2.5,6.15
Nimbus 2000,3,H,Young,0.4,2.2,5.75
Nimbus 2001,1,H,Young,0.6,2.3,4.7
